workload_type,workload_size,Workload TPT,Average Workload TPT,Average FET,Average CT,C_CPU,C_RAM,C_disk_read,C_disk_write,C_network_recieve,C_network_transmit,pod_cpu_aeneas_function,pod_cpu_functions_all,pod_cpu_mosquitto_broker,pod_cpu_mosquitto_connector_aeneas,pod_cpu_mosquitto_connector_tocloud
1_emqx_testing_namespace_scaling,1,5,5.0,4.601999999999999,0.3980000000000006,0.4638345192835,3640201216,3675.784572524297,125315.41845666108,26158.28152354799,27412.55873180469,0.003058826566331,0.0098025616573275,0.0373503480287121,0.0686382868102741,0.0531535669969669
1_emqx_testing_namespace_max_inflight_scaling,1,5,5.0,4.753,0.2469999999999999,0.5454680818630818,3663486976,4274.013045603636,144746.57514444314,26283.76986484597,26408.8712902432,0.003721491703873,0.0098258948471167,0.069344591663586,0.05850861320856,0.0493973917668997
1_emqx_testing_namespace_scaling,1,5,5.0,4.754,0.2460000000000004,0.5235288093860595,3672084480,2326.794349695617,61851.64765367237,47761.57135181146,49375.1464803299,0.1348298209613246,0.1398689580471449,0.0329491246343927,0.0516365673343894,0.0380738487278434
5_emqx_testing_namespace_max_inflight_scaling,5,40,8.0,5.349600000000001,2.6504,0.5449826968542218,3661582336,5608.922597630323,93064.7022518918,25233.74148304388,25823.352640736342,0.0038519306240053,0.009558780543158,0.0592553821662526,0.0574622516056209,0.0462673736925266
5_namespace_max_inflight,5,38,7.6,5.1619600000000005,2.4380399999999995,0.2236179458089739,2443378688,2314.385806305798,225543.49137644665,10839.637985721543,10464.098164198896,0.0018829139778367,0.0084794856473451,0.0025375086890408,0.022813687307562,0.0263864003745623
10_namespace_max_inflight,10,117,11.7,5.21148,6.488520000000001,0.4211384466430102,2474754048,1929.381618118099,42470.54893576132,323202.0110391482,334931.1452015336,1.300094596238456,1.3151558725179802,0.0059348658249916,0.3124906784182424,0.0311879973618143
10_emqx_testing_namespace_max_inflight_scaling,10,171,17.1,5.415,11.685,0.5437921735468457,3748970496,3866.388098011478,131241.48661043608,487802.8017135936,555749.1813591797,0.1673408353223385,0.1731179187142848,0.11252867723068,0.145442484740982,0.0402646929414343
10_namespace_max_inflight_scaling,10,130,13.0,5.160639999999999,7.839360000000001,0.2826245576119036,3262148608,6480.124564344558,157180.73428833325,384188.1598777771,414511.7646248105,0.0038545850535958,0.0141589666495666,0.004030813076985,0.3694441919791685,0.0295006170905407
15_emqx_testing_namespace_scaling,15,380,25.333333333333332,5.1778,20.15553333333333,0.8280428357641914,3866202112,7799.018031014651,4473.665610232512,1186712.4412381288,1276412.5087349562,3.0406360090081863,3.0715929211107884,0.0815182930498763,0.2423830296375119,0.0522368311386338
15_namespace_max_inflight,15,250,16.666666666666668,5.145426666666666,11.52124,0.5799201022589517,1826275328,5811.851795035687,153832.13172017105,767784.5954420108,1014063.5211436622,3.0561445405550356,3.0908856398908995,0.0097748260066836,0.3171908235258455,0.0281873694858567
15_namespace_max_inflight,15,247,16.466666666666665,5.230506666666667,11.236160000000002,0.5145953819574584,1791381504,5070.449963128925,99599.07705947464,617952.7802566832,769110.1859724391,1.3980401622853318,1.4206742215298198,0.0098581723841087,0.3637032689861819,0.0210479535014052
15_emqx_testing_namespace_max_inflight_scaling,15,406,27.066666666666663,5.382466666666667,21.684199999999997,0.7776054578889956,3789701120,8412.867354145086,73471.43574002277,1210440.300732917,1266044.7697248706,1.792354709241088,1.8101603273926965,0.0643653150491976,0.3763247354044983,0.0491948978369535
15_namespace_max_inflight,15,251,16.733333333333334,5.25194,11.481393333333331,0.7322144033850174,1869012992,0.0,1062.1976328679252,753019.451712468,884893.2968375594,2.4687511467939047,2.4901532067470966,0.0044028319209542,0.2402399240569045,0.015314985267565
20_namespace_max_inflight,20,415,20.75,5.1297049999999995,15.620295000000002,0.7783112745181349,2027679744,2615.3846153846152,51627.74825347908,816400.0277402886,1160269.9295073866,3.256336249823894,3.305375210869514,0.0039323456185284,0.3339757963028492,0.0325158750446157
20_namespace_max_inflight,20,422,21.1,5.1465950000000005,15.953405,0.960423911334304,1981145088,7986.423506497057,163543.46320452038,1348746.8787156143,1404745.5013993178,3.5758742438334252,3.623685972810275,0.010366821078557,0.0284741247561796,0.0251271384356861
20_namespace_max_inflight,20,421,21.05,5.020845,16.029155,0.6841157152305546,1871253504,4614.23900202404,19341.355968050397,857871.0975249877,966795.9652757648,1.8661417843386416,1.9055817772056935,0.0015753763555868,0.516140273098361,0.0236245611891722
20_emqx_testing_namespace_max_inflight_scaling,20,689,34.45,5.465249999999999,28.98475,0.6662082261238831,3938123776,17540.849998130027,84786.86918194414,1538401.5637241325,1871907.532959657,1.1321251595822606,1.1445596752629807,0.0960860431737163,0.2485863341524912,0.0382313685493177
30_namespace_max_inflight,30,867,28.9,5.180333333333334,23.71966666666667,1.2507141610119388,2273677312,8107.373377104575,286545.05409460934,30064.495271125685,264903.2467393857,5.033876202316549,5.104190974236307,0.0036298163026761,0.0265510866795909,0.0344316961574014
30_emqx_testing_namespace_max_inflight_scaling,30,1704,56.8,5.551166666666665,51.24883333333334,1.4872366068423075,3914358784,10328.200998202912,122534.15334120624,925687.6636466942,749472.9875884899,5.526283199991886,5.565704202801701,0.1017411481213734,0.1518591009958531,0.0559582504002902
50_emqx_testing_namespace_max_inflight_scaling,50,4626,92.52,5.5404,86.9796,2.578545401748553,4085313536,15545.90608047928,56549.76482789501,1030274.949538877,971963.288456616,5.596861177813377,5.635533502742959,0.0637755008568787,0.1120270231278613,0.0597051689327563
50_namespace_max_inflight,50,2423,48.46,5.25718,43.20282,2.049324531993292,2400743424,6193.246171345383,87846.50390753825,829973.5326919536,822145.1393659108,5.658330663945669,5.727973228258134,0.003889484207091,0.0331007126853854,0.0334500736605959
50_namespace_max_inflight,50,2423,48.46,5.25718,43.20282,2.049324531993292,2400743424,6193.246171345383,87846.50390753825,829973.5326919536,822145.1393659108,,,,,
100_namespace_max_inflight,100,9165,91.65,5.243307000000001,86.40669299999999,4.154552807377747,2964557824,6415.548995716695,87541.49294793617,1163532.6909464274,1083591.5364343894,5.7194293052939305,5.791270766088378,0.0035430197469104,0.0695341265966829,0.0332155407227409
15_emqx_testing_namespace_scaling,15,421,28.066666666666663,5.651066666666666,22.4156,0.7387016978095644,3811381248,4266.241077563247,86921.08483859888,958652.1770801594,1175283.2028001077,1.149490015520276,1.1532788488460337,0.0782100887400894,0.2335099393716924,0.05184892657414
15_emqx_testing_namespace_scaling,15,409,27.266666666666666,5.578733333333333,21.687933333333337,0.7668179505840006,3828015104,1251.386650232086,4946.381192933045,1269765.974659373,1466959.2090320203,2.0724719656855415,2.0944282220333994,0.0642682471362471,0.2854396506257345,0.0398266064492496
15_emqx_testing_namespace_scaling,15,256,17.066666666666666,5.56518,11.501486666666668,0.4770302630906692,3761147904,6378.777623310345,90868.63366114922,734652.332593981,690666.7980824849,0.1113870163289464,0.1404084375962968,0.019519740491169,0.0961124712539453,0.0300565720406388
15_emqx_testing_namespace_scaling_without_max_inflight,15,590,39.333333333333336,4.721486666666666,34.61184666666667,1.5737801352660947,3715944448,1383.850531339815,9165.182529357844,279799.4983811583,327647.74004598253,1.8943913081509909,1.9250760414675392,0.051943993289842,0.1057770124559023,0.0438932161734623
15_emqx_testing_namespace_scaling_without_max_inflight_replicas_2,15,642,42.8,4.961093333333333,37.83890666666667,0.9881469038286644,3889528832,2752.28431524126,145073.62878248215,241758.30097930887,387176.2580006752,1.722369232899496,1.7535315230357384,0.0499706393580673,0.0689982172540722,0.0511771823576832
15_emqx_testing_namespace_scaling_without_max_inflight_replicas_2,15,592,39.46666666666667,4.712533333333334,34.754133333333336,0.9343452134046598,3916943360,74730.14797732694,150270.940878662,313003.32116666035,347960.8989172819,2.062407868377494,2.092458661986813,0.0575387136540552,0.064056129914578,0.0500691421423081
15_emqx_testing_namespace_scaling_without_max_inflight_replicas_2,15,54,7.714285714285714,4.7405,2.973785714285714,1.02338594567973,3884687360,3862.8961752656214,107902.80524694841,273474.68207418866,324800.49392515485,0.8227555087814657,0.8390942354151661,0,0.43675861569859814,0.04874018014422347
